snr_db,ber,ser,ber_std,ser_std,ber_ci95,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.3420034680538882,0.5560891023075897,0.003804590772488491,0.007018028757066002,0.00430529975303909,10256,29988,scirs_3x1,100000,42|43|44
2.0,0.32779778578097907,0.531545951714019,0.0030937014388672567,0.003029963103001339,0.003500852742703793,9830,29988,scirs_3x1,100000,42|43|44
4.0,0.3011204481792717,0.4929305055355475,0.002407204765009196,0.005023297334307212,0.0027240086253823145,9030,29988,scirs_3x1,100000,42|43|44
6.0,0.27414299052954516,0.44757903161264506,0.0019612266176514256,0.00227247232725103,0.0022193368426601033,8221,29988,scirs_3x1,100000,42|43|44
8.0,0.23596105108710153,0.38555422168867554,0.002174192785474594,0.0010396463430785816,0.002460330748329242,7076,29988,scirs_3x1,100000,42|43|44
10.0,0.2023142590369481,0.3317326930772309,0.004502171223619488,0.005829852854875324,0.005094686345073216,6067,29988,scirs_3x1,100000,42|43|44
12.0,0.16603307989862612,0.27310924369747897,0.004411224018090671,0.010025986247593082,0.004991769893628768,4979,29988,scirs_3x1,100000,42|43|44
14.0,0.1321862078164599,0.2151527277577698,0.007879911027206532,0.014483822860974521,0.008916958755386064,3964,29988,scirs_3x1,100000,42|43|44
16.0,0.10180738962251568,0.1676003734827264,0.006486677746856899,0.01270836376173314,0.007340366880856605,3053,29988,scirs_3x1,100000,42|43|44
18.0,0.07603041216486595,0.1259170334800587,0.006881706091204411,0.011879655370528118,0.0077873835339118775,2280,29988,scirs_3x1,100000,42|43|44
20.0,0.05675603574763238,0.09317060157396291,0.0062204728572917015,0.010076435119802296,0.007039127690142484,1702,29988,scirs_3x1,100000,42|43|44
22.0,0.040449513138588765,0.06615979725223424,0.004637945485051009,0.007114338780811135,0.005248329385590778,1213,29988,scirs_3x1,100000,42|43|44
24.0,0.028011204481792718,0.045951714018940916,0.001249499399439455,0.002043691269313668,0.0014139416766525445,840,29988,scirs_3x1,100000,42|43|44
26.0,0.019491129785247432,0.03197945845004668,0.002873575814645104,0.0040169938689683885,0.0032517571494394123,941,49980,scirs_3x1,100000,42|43|44
28.0,0.011321195144724556,0.01850740296118447,0.0016779706049632023,0.002629739781531596,0.001898802489716857,679,59976,scirs_3x1,100000,42|43|44
30.0,0.007700302343159486,0.01273842870481526,0.0009254953147893222,0.001643148592070818,0.0010472965394896113,760,99960,scirs_3x1,100000,42|43|44
