snr_db,ber,ser,ber_std,ser_std,ber_ci95,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.20836666666666667,0.3592666666666666,0.0028307831660749536,0.0065431898439013095,0.003203332708983638,6251,30000,mrc_3x1,100000,42|43|44
2.0,0.1654,0.2884666666666667,0.0012489995996796844,0.004455707949735193,0.0014133760999818893,4962,30000,mrc_3x1,100000,42|43|44
4.0,0.1262,0.2222666666666667,0.0013892443989449792,0.002138535324312717,0.0015720780302940847,3786,30000,mrc_3x1,100000,42|43|44
6.0,0.09153333333333334,0.16313333333333332,0.001709775813764289,0.00359072880253206,0.0019347934716082184,2746,30000,mrc_3x1,100000,42|43|44
8.0,0.06273333333333334,0.11313333333333335,0.0013650396819628815,0.002335237318418263,0.00154468781455815,1882,30000,mrc_3x1,100000,42|43|44
10.0,0.043366666666666664,0.07846666666666667,0.0002516611478423586,0.0006429100507328663,0.00028478139764465766,1301,30000,mrc_3x1,100000,42|43|44
12.0,0.028466666666666668,0.05106666666666667,0.0013576941236277539,0.0029955522584881283,0.0015363755327971673,854,30000,mrc_3x1,100000,42|43|44
14.0,0.01896666666666667,0.03443333333333334,0.00108895974826131,0.001871719352182193,0.0012322739594388555,1138,60000,mrc_3x1,100000,42|43|44
16.0,0.01215,0.022033333333333335,0.0009340770846134707,0.0015947831618540924,0.0010570077262410783,729,60000,mrc_3x1,100000,42|43|44
18.0,0.008033333333333332,0.014511111111111112,0.00032829526005986984,0.0004286067004885752,0.00037150105926771833,723,90000,mrc_3x1,100000,42|43|44
20.0,0.005158333333333333,0.009366666666666667,5.2041649986653e-05,0.00022546248764114418,5.889067083257814e-05,619,120000,mrc_3x1,100000,42|43|44
22.0,0.0032825396825396824,0.005958730158730159,0.00022138163011569688,0.00032567158357415025,0.0002505168977322341,654,200000,mrc_3x1,100000,42|43|44
24.0,0.0020545117845117843,0.0037305723905723905,0.00017205078505733805,0.0002757468702057297,0.00019469379145159552,613,300000,mrc_3x1,100000,42|43|44
26.0,0.001241557734204793,0.0022744281045751634,7.509095921998845e-05,9.939030221064336e-05,8.497341961796039e-05,632,510000,mrc_3x1,100000,42|43|44
28.0,0.0007966666666666668,0.0014533333333333334,0.00011184066046538412,0.00014742229591663982,0.00012655962143502873,478,600000,mrc_3x1,100000,42|43|44
30.0,0.0005149999999999999,0.0009299999999999999,8.760707733967614e-05,0.00013228756555322958,9.913674058255763e-05,309,600000,mrc_3x1,100000,42|43|44
