snr_db,ber,ser,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.4100640256102441,0.9355742296918766,12297,29988,scirs_3x1,100000,42|43|44
2.0,0.40596238495398157,0.9373082566359877,12174,29988,scirs_3x1,100000,42|43|44
4.0,0.4002934507136187,0.937374949979992,12004,29988,scirs_3x1,100000,42|43|44
6.0,0.3961584633853541,0.9380418834200347,11880,29988,scirs_3x1,100000,42|43|44
8.0,0.3973922902494331,0.937641723356009,11917,29988,scirs_3x1,100000,42|43|44
10.0,0.393890889689209,0.9365746298519407,11812,29988,scirs_3x1,100000,42|43|44
12.0,0.3930905695611578,0.9355075363478725,11788,29988,scirs_3x1,100000,42|43|44
14.0,0.3902227557689742,0.9355742296918766,11702,29988,scirs_3x1,100000,42|43|44
16.0,0.38915566226490594,0.9345738295318128,11670,29988,scirs_3x1,100000,42|43|44
18.0,0.3895224756569295,0.9340402827797786,11681,29988,scirs_3x1,100000,42|43|44
20.0,0.3904228358009871,0.9341069761237829,11708,29988,scirs_3x1,100000,42|43|44
22.0,0.38992263572095504,0.9329731892757103,11693,29988,scirs_3x1,100000,42|43|44
24.0,0.39158996932106177,0.9331732693077232,11743,29988,scirs_3x1,100000,42|43|44
26.0,0.39142323596105105,0.9334400426837401,11738,29988,scirs_3x1,100000,42|43|44
28.0,0.3913231959450447,0.932906495931706,11735,29988,scirs_3x1,100000,42|43|44
30.0,0.391656662665066,0.932906495931706,11745,29988,scirs_3x1,100000,42|43|44
