snr_db,ber,ser,ber_std,ser_std,ber_ci95,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.3370348139255703,0.54421768707483,0.004311016691959816,0.008645217167054145,0.004878374629264581,10107,29988,scirs_3x1,100000,42|43|44
2.0,0.3174603174603175,0.5160730959050287,0.003201801511559345,0.006995174871389754,0.0036231794905974557,9520,29988,scirs_3x1,100000,42|43|44
4.0,0.295718287314926,0.4803921568627451,0.0028629627893665644,0.005446441612171358,0.003239747380756509,8868,29988,scirs_3x1,100000,42|43|44
6.0,0.26370548219287715,0.4308390022675737,0.00499799759775782,0.006696954943993418,0.005655766706610178,7908,29988,scirs_3x1,100000,42|43|44
8.0,0.2280245431505936,0.3711484593837535,0.0050023342559253415,0.006317588396897552,0.005660674097300566,6838,29988,scirs_3x1,100000,42|43|44
10.0,0.19004268374016273,0.3088568760837669,0.007134707311966447,0.011377032219042267,0.00807368136681992,5699,29988,scirs_3x1,100000,42|43|44
12.0,0.15883019874616514,0.2566359877284247,0.0019663229275451,0.004807475334384446,0.0022251038602025173,4763,29988,scirs_3x1,100000,42|43|44
14.0,0.1213485394157663,0.19714552487661732,0.0038002040642702295,0.006545808167168184,0.004300335725384577,3639,29988,scirs_3x1,100000,42|43|44
16.0,0.09173669467787116,0.148859543817527,0.0022525670766702045,0.005049791702330512,0.002549019607843133,2751,29988,scirs_3x1,100000,42|43|44
18.0,0.06622649059623849,0.10704281712685075,0.0033524602001032476,0.004855806762509637,0.003793665845995149,1986,29988,scirs_3x1,100000,42|43|44
20.0,0.04688542083500066,0.07616379885287448,0.0010020661065303909,0.0017250256311027773,0.0011339445472481977,1406,29988,scirs_3x1,100000,42|43|44
22.0,0.03261304521808723,0.05348806189142324,0.0020428749356404693,0.003912234060574222,0.0023117306122650183,978,29988,scirs_3x1,100000,42|43|44
24.0,0.022542350273442712,0.036347872482326266,0.00241205032946847,0.004008264426121575,0.0027294918977543918,676,29988,scirs_3x1,100000,42|43|44
26.0,0.014389088968920901,0.023209283713485393,0.0020418540595906927,0.003405771214595678,0.0023105753822632085,863,59976,scirs_3x1,100000,42|43|44
28.0,0.009559379307278466,0.0156062424969988,0.0007907685924072926,0.001568357478498713,0.0008948389009983816,756,79968,scirs_3x1,100000,42|43|44
30.0,0.005535547552354275,0.00900360144057623,0.0005622153961613768,0.0009344508649594541,0.0006362066122199931,664,119952,scirs_3x1,100000,42|43|44
