snr_db,ber,ser,ber_std,ser_std,ber_ci95,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.11763333333333333,0.2098,0.0025540817005987363,0.0058000000000000135,0.002890215524451036,3529,30000,mrc_3x1,100000,42|43|44
2.0,0.0838,0.15080000000000002,0.0019078784028338908,0.0027784887978899602,0.0021589676545361513,2514,30000,mrc_3x1,100000,42|43|44
4.0,0.058133333333333335,0.1042,0.0017097758137642883,0.003666060555964671,0.0019347934716082177,1744,30000,mrc_3x1,100000,42|43|44
6.0,0.0389,0.06973333333333333,0.002107130750570546,0.003885013942488922,0.0023844429118769,1167,30000,mrc_3x1,100000,42|43|44
8.0,0.026066666666666665,0.04673333333333333,0.0020550750189064467,0.004026578365477733,0.002325536306126204,782,30000,mrc_3x1,100000,42|43|44
10.0,0.017033333333333334,0.031166666666666665,0.0011877850535064554,0.002020725942163692,0.0013441053199474775,1022,60000,mrc_3x1,100000,42|43|44
12.0,0.010722222222222223,0.019822222222222224,0.0011668253860288964,0.002030964011206209,0.0013203872234133019,739,70000,mrc_3x1,100000,42|43|44
14.0,0.007097222222222223,0.013072222222222223,0.00040895644067598494,0.0008233288348954938,0.0004627777777777778,705,100000,mrc_3x1,100000,42|43|44
16.0,0.004493333333333333,0.0082,0.0002548201980482187,0.00040595566260368844,0.0002883561994786619,674,150000,mrc_3x1,100000,42|43|44
18.0,0.0029047619047619048,0.005316666666666667,0.0001939563033753933,0.00022410062122933577,0.00021948221897102378,637,220000,mrc_3x1,100000,42|43|44
20.0,0.001838131313131313,0.0033247474747474747,6.190063079688065e-05,3.851982821347144e-05,7.004715787302989e-05,643,350000,mrc_3x1,100000,42|43|44
22.0,0.0011233660130718956,0.0020377995642701526,9.378045876261214e-05,0.00016291507952864424,0.00010612257929818861,615,550000,mrc_3x1,100000,42|43|44
24.0,0.0007266666666666667,0.0013299999999999998,1.040832999733063e-05,3.464101615137751e-05,1.1778134166515662e-05,436,600000,mrc_3x1,100000,42|43|44
26.0,0.00043666666666666664,0.0008033333333333334,2.466441431158125e-05,6.806859285554047e-05,2.7910412234703955e-05,262,600000,mrc_3x1,100000,42|43|44
28.0,0.00026,0.00047,1.8027756377319947e-05,2.9999999999999997e-05,2.0400326794768104e-05,156,600000,mrc_3x1,100000,42|43|44
30.0,0.000165,0.00030333333333333335,8.660254037844394e-06,5.773502691896273e-06,9.80000000000001e-06,99,600000,mrc_3x1,100000,42|43|44
